Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
5.666, 0.5661499027619206, 0.79, 0.3760703889784571, 80.47906324138983, 119, 302, 9.99205617299542e-05, 18, 22
5.768, 0.5766567848589265, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 127, 293, 9.997517074530624e-05, 18, 16
5.87, 0.5869193208606531, 0.8299999999999999, 0.4160703889784571, 89.03906324138983, 125, 282, 9.998625568324584e-05, 18, 12
5.972, 0.5976705490529382, 0.76, 0.3460703889784571, 74.05906324138982, 115, 299, 0.0001000787925406796, 18, 26
6.07, 0.6079330850546648, 0.8, 0.3860703889784571, 82.61906324138982, 140, 296, 0.0001001537207668311, 18, 27
6.169, 0.6177069288658331, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 127, 298, 0.0001001308038362511, 18, 14
6.277, 0.6289468492486766, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 123, 282, 0.000100198637764645, 18, 18
6.373, 0.6384763469645657, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 135, 285, 0.0001001845829224173, 18, 12
6.476, 0.6489832290615714, 0.84, 0.4260703889784571, 91.17906324138984, 132, 306, 0.0001002135931225403, 18, 23
6.583, 0.6599788033491357, 0.8299999999999999, 0.4160703889784571, 89.03906324138983, 112, 310, 0.0001002550210161227, 18, 28
6.681, 0.6699969932555833, 0.8, 0.3860703889784571, 82.61906324138982, 117, 307, 0.0001002839385205184, 18, 9
6.779, 0.6800151831620306, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 132, 273, 0.0001003120199383435, 18, 48
6.877, 0.6900333730684781, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 126, 297, 0.000100339301013302, 18, 29
6.98, 0.7005402551654839, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 117, 301, 0.0001003639334047971, 18, 14
7.076, 0.7105584450719313, 0.8, 0.3860703889784571, 82.61906324138982, 125, 297, 0.0001004180956856884, 18, 11
7.179, 0.7210653271689374, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 126, 283, 0.0001004409147748903, 18, 18
7.278, 0.7310835170753847, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 117, 295, 0.0001004511565093961, 18, 23
7.378, 0.7415903991723906, 0.8199999999999999, 0.4060703889784571, 86.89906324138983, 120, 312, 0.0001005137434497683, 18, 21
7.473, 0.7511198968882797, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 117, 293, 0.0001005111597602408, 18, 22
7.581, 0.7621154711758439, 0.76, 0.3460703889784571, 74.05906324138982, 127, 283, 0.0001005296756596549, 18, 13
7.679, 0.7726223532728498, 0.79, 0.3760703889784571, 80.47906324138983, 143, 281, 0.0001006149698232647, 18, 20
7.779, 0.782396197084018, 0.8, 0.3860703889784571, 82.61906324138982, 122, 290, 0.0001005779916549708, 18, 30
7.873, 0.7921700408951864, 0.8299999999999999, 0.4160703889784571, 89.03906324138983, 129, 294, 0.0001006185749898624, 18, 18
7.977, 0.8026769229921921, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 118, 294, 0.0001006239091127231, 18, 17
8.077, 0.8131838050891979, 0.74, 0.3260703889784571, 69.77906324138982, 117, 305, 0.0001006789408306547, 18, 13
8.177, 0.8232019949956454, 0.75, 0.3360703889784571, 71.91906324138983, 142, 277, 0.0001006728622961533, 18, 56
8.284000000000001, 0.8341975692832097, 0.7, 0.2860703889784571, 61.21906324138983, 136, 289, 0.0001006998514344773, 18, 15
8.381, 0.8442157591896571, 0.7, 0.2860703889784571, 61.21906324138983, 151, 259, 0.0001007297171208277, 18, 46
8.48, 0.8542339490961044, 0.79, 0.3760703889784571, 80.47906324138983, 146, 275, 0.0001007351355066161, 18, 23
8.58, 0.8644964850978313, 0.67, 0.2560703889784572, 54.79906324138983, 123, 289, 0.0001007571660953183, 18, 39
8.686, 0.8754920593853955, 0.07000000000000001, -0.3439296110215429, -73.60093675861018, 159, 254, 0.0001007934675783324, 19, 75
8.782999999999999, 0.8852659031965636, 0.31, -0.1039296110215429, -22.24093675861018, 254, 149, 0.0001007931120569924, 19, 185
8.887, 0.8960171313888489, 0.55, 0.1360703889784571, 29.11906324138982, 220, 198, 0.0001008233522435973, 20, 75
8.984, 0.9057909752000171, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 175, 259, 0.0001008226820124685, 20, 105
9.081, 0.9155648190111854, 0.8, 0.3860703889784571, 82.61906324138982, 119, 297, 0.0001008220260996791, 20, 92
9.186, 0.9265603932987496, 0.79, 0.3760703889784571, 80.47906324138983, 133, 296, 0.0001008665788481112, 20, 12
9.286, 0.9368229293004763, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 129, 287, 0.000100885518985621, 20, 16
9.388999999999999, 0.947329811397482, 0.7199999999999999, 0.3060703889784571, 65.49906324138984, 137, 297, 0.0001008978391093281, 20, 20
9.489000000000001, 0.9575923473992088, 0.67, 0.2560703889784572, 54.79906324138983, 148, 275, 0.000100916044620003, 20, 30
9.593999999999999, 0.9680992294962147, 0.7, 0.2860703889784571, 61.21906324138983, 153, 254, 0.0001009067364494699, 20, 27
9.694000000000001, 0.9788504576884998, 0.74, 0.3260703889784571, 69.77906324138982, 151, 281, 0.0001009748770052094, 20, 28
9.792, 0.988624301499668, 0.17, -0.2439296110215428, -52.20093675861019, 139, 280, 0.0001009624490910609, 21, 16
9.891999999999999, 0.9986424914061155, 0.17, -0.2439296110215428, -52.20093675861019, 250, 159, 0.0001009545583710185, 21, 221
9.991, 1.008905027407842, 0.19, -0.2239296110215429, -47.92093675861018, 258, 164, 0.0001009813859881736, 21, 15
10.092, 1.019167563409569, 0.2, -0.2139296110215429, -45.78093675861019, 255, 172, 0.0001009876697789902, 21, 7
10.189, 1.029185753316016, 0.2, -0.2139296110215429, -45.78093675861019, 250, 157, 0.0001010094958598504, 21, 15
10.29, 1.039692635413022, 0.2, -0.2139296110215429, -45.78093675861019, 248, 170, 0.0001010391288059302, 21, 13
10.391, 1.049710825319469, 0.17, -0.2439296110215428, -52.20093675861019, 261, 162, 0.0001010211553574698, 21, 19
10.49, 1.059973361321196, 0.19, -0.2239296110215429, -47.92093675861018, 264, 159, 0.0001010460782956336, 21, 7
10.59, 1.070235897322923, 0.2, -0.2139296110215429, -45.78093675861019, 250, 164, 0.0001010609912486235, 21, 17
10.695, 1.080742779419929, 0.21, -0.2039296110215429, -43.64093675861018, 250, 166, 0.0001010512182720831, 21, 6
10.798, 1.091494007612214, 0.19, -0.2239296110215429, -47.92093675861018, 254, 166, 0.0001010829790342854, 21, 8
10.896, 1.101512197518661, 0.11, -0.3039296110215429, -65.04093675861019, 261, 162, 0.0001010932633552369, 21, 9
10.996, 1.112019079615667, 0.12, -0.2939296110215428, -62.90093675861018, 289, 144, 0.0001011294179352189, 21, 52
11.099, 1.122525961712673, 0.21, -0.2039296110215429, -43.64093675861018, 259, 153, 0.0001011375765125393, 21, 43
11.199, 1.1327884977144, 0.21, -0.2039296110215429, -43.64093675861018, 251, 174, 0.0001011508614799892, 21, 31
11.298, 1.142562341525568, 0.22, -0.1939296110215429, -41.50093675861018, 253, 162, 0.0001011296106855698, 21, 16
11.395, 1.152824877527295, 0.21, -0.2039296110215429, -43.64093675861018, 248, 166, 0.0001011693617838784, 21, 8
11.496, 1.163087413529021, 0.21, -0.2039296110215429, -43.64093675861018, 247, 167, 0.0001011732266465746, 21, 4
11.596, 1.173349949530748, 0.2, -0.2139296110215429, -45.78093675861019, 250, 173, 0.0001011857493558768, 21, 15
11.699, 1.183856831627754, 0.23, -0.1839296110215429, -39.36093675861018, 246, 159, 0.000101192993557377, 21, 23
11.795, 1.193875021534201, 0.21, -0.2039296110215429, -43.64093675861018, 250, 170, 0.0001012187385785673, 21, 17
11.892, 1.203648865345369, 0.21, -0.2039296110215429, -43.64093675861018, 250, 167, 0.0001012150071767044, 21, 5
11.992, 1.213667055251817, 0.18, -0.2339296110215429, -50.06093675861019, 264, 172, 0.0001012063921991175, 21, 13
12.095, 1.224418283444102, 0.19, -0.2239296110215429, -47.92093675861018, 245, 153, 0.0001012334256671436, 21, 32
