Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
4.675, 0.3565009530123618, 0.15, -0.2708614648453401, -56.88090761752143, 222, 96, 7.625688834489023e-05, 23, 39
4.711, 0.3594331061557122, 0.17, -0.2508614648453401, -52.68090761752143, 214, 101, 7.629656254631972e-05, 23, 14
4.75, 0.3623652592990627, 0.2, -0.2208614648453401, -46.38090761752143, 213, 105, 7.628742301032899e-05, 23, 5
4.789, 0.3652974124424131, 0.26, -0.1608614648453401, -33.78090761752143, 203, 114, 7.627843233293237e-05, 23, 17
4.829, 0.368718257776322, 0.27, -0.1508614648453401, -31.68090761752143, 211, 125, 7.635499229163845e-05, 23, 18
4.865, 0.3716504109196725, 0.32, -0.1008614648453401, -21.18090761752143, 190, 132, 7.639268467002518e-05, 23, 26
4.9, 0.3740938718724646, 0.34, -0.08086146484534012, -16.98090761752143, 167, 125, 7.634568813723767e-05, 23, 29
4.938, 0.3770260250158151, 0.32, -0.1008614648453401, -21.18090761752143, 172, 138, 7.635196942402088e-05, 23, 12
4.979, 0.3804468703497239, 0.26, -0.1608614648453401, -33.78090761752143, 199, 145, 7.641029731868326e-05, 23, 40
5.015, 0.3831346773977952, 0.18, -0.2408614648453401, -50.58090761752143, 182, 131, 7.639774225280062e-05, 23, 25
5.053, 0.3860668305411457, 0.13, -0.2908614648453401, -61.08090761752143, 198, 117, 7.640348912351984e-05, 23, 22
5.092, 0.3892433297797754, 0.1, -0.3208614648453401, -67.38090761752144, 237, 98, 7.644213075015227e-05, 23, 67
5.13, 0.3919311368278467, 0.1, -0.3208614648453401, -67.38090761752144, 218, 94, 7.639983174032098e-05, 23, 23
5.166, 0.3948632899711972, 0.12, -0.3008614648453401, -63.18090761752143, 222, 92, 7.643501548029368e-05, 23, 3
5.205, 0.3977954431145476, 0.15, -0.2708614648453401, -56.88090761752143, 232, 97, 7.642563748598416e-05, 23, 17
5.248, 0.4014606345437358, 0.2, -0.2208614648453401, -46.38090761752143, 219, 99, 7.649783432616914e-05, 23, 15
5.287, 0.4043927876870862, 0.23, -0.1908614648453401, -40.08090761752142, 211, 112, 7.648813839362325e-05, 23, 20
5.328, 0.4078136330209951, 0.24, -0.1808614648453401, -37.98090761752142, 208, 120, 7.654159778922579e-05, 23, 12
5.365, 0.4105014400690663, 0.21, -0.2108614648453401, -44.28090761752143, 198, 121, 7.65147138991736e-05, 23, 13
5.406, 0.413677939307696, 0.15, -0.2708614648453401, -56.88090761752143, 198, 115, 7.652200135177507e-05, 23, 11
5.445, 0.4166100924510464, 0.1, -0.3208614648453401, -67.38090761752144, 202, 107, 7.651241367328677e-05, 23, 9
5.486, 0.4197865916896761, 0.09, -0.3308614648453401, -69.48090761752143, 221, 91, 7.651961204696977e-05, 23, 33
5.527, 0.4229630909283059, 0.08, -0.3408614648453401, -71.58090761752144, 238, 97, 7.652670362372098e-05, 23, 25
5.562, 0.4256508979763771, 0.08, -0.3408614648453401, -71.58090761752144, 226, 89, 7.652838870485024e-05, 23, 18
5.605, 0.4288273972150068, 0.08, -0.3408614648453401, -71.58090761752144, 229, 81, 7.650801020785135e-05, 23, 17
5.643, 0.4320038964536365, 0.08, -0.3408614648453401, -71.58090761752144, 243, 91, 7.655571441673517e-05, 23, 23
5.675, 0.4346917035017077, 0.07000000000000001, -0.3508614648453401, -73.68090761752143, 231, 90, 7.659765700470621e-05, 23, 12
5.715, 0.4376238566450581, 0.08, -0.3408614648453401, -71.58090761752144, 217, 84, 7.657460308749924e-05, 23, 19
